,darea,empdensity,housedensity,lat,lon,name,narea,parking,paydensity,popdensity,warea,empnear,empwalk,empdrive,housenear,housewalk,housedrive,paynear,paywalk,paydrive,popnear,popwalk,popdrive,15empnet,30empnet,60empnet,15housenet,30housenet,60housenet,15paynet,30paynet,60paynet,15popnet,30popnet,60popnet
0,148.44025288211773,740.9976291713868,1240.9959416450533,42.437,-71.071,Oak Grove,2.796017461694916,1,30221.701681740167,3163.8853201461507,3.141592653589793,2071.842310237732,2327.9127081322827,109993.87545925037,3469.846322732094,3898.7037334068473,184213.75140347355,84500.40562428012,94944.2759823372,4486117.040165433,8846.278601928847,9939.638878571737,469647.9370125146,17230.307702715985,79011.86123523416,640920.2182473919,15495.92441076899,30083.09040564805,196183.07632538315,964366.2771730628,5045937.234806598,51483903.973034106,38127.814133007676,78983.09969551694,462900.3345404101
1,21.205750411731106,868.832527584365,1415.3428772371867,42.427,-71.073,Malden Center,2.5132741228718345,1,37038.805874434554,3669.2414360601388,3.141592653589793,2183.614308687114,2729.5178858588924,18424.245729547525,3557.144628351189,4446.430785438986,30013.40780171316,93088.67234628966,116360.84043286207,785435.672921819,9221.809551819035,11527.261939773794,77809.01809347312,17230.307702715985,79011.86123523416,640920.2182473919,15495.92441076899,30083.09040564805,196183.07632538315,964366.2771730628,5045937.234806598,51483903.973034106,38127.814133007676,78983.09969551694,462900.3345404101
2,21.205750411731106,1096.1252017931965,1702.855796291809,42.401,-71.077,Wellington,3.078760800517997,1,52027.437243567765,4330.353389867037,3.141592653589793,3374.707303740773,3443.5788813681356,23244.15744923492,5242.685674558081,5349.679259753144,36110.33500333373,160180.03433690657,163449.0146294965,1103280.8487491014,13332.12226911286,13604.20639705394,91828.3931801141,17230.307702715985,79011.86123523416,640920.2182473919,15495.92441076899,30083.09040564805,196183.07632538315,964366.2771730628,5045937.234806598,51483903.973034106,38127.814133007676,78983.09969551694,462900.3345404101
3,0.0,2079.3871609754406,2546.4049064868163,42.384,-71.077,Sullivan Square,2.419026343264141,1,107373.36117236606,5762.370536429828,3.141592653589793,5030.092320244823,6532.587428889381,0.0,6159.82054940867,7999.766947283986,0.0,259738.98924076854,337323.36265034875,0.0,13939.32612727287,18103.020944510223,0.0,17230.307702715985,79011.86123523416,640920.2182473919,15495.92441076899,30083.09040564805,196183.07632538315,964366.2771730628,5045937.234806598,51483903.973034106,38127.814133007676,78983.09969551694,462900.3345404101
4,0.0,11014.267292783232,3252.479276120241,42.374,-71.07,Community College,1.0367255756846319,0,967833.198656508,6245.210953265154,3.141592653589793,11418.772599855107,34602.34121168214,0.0,3371.9284499380915,10217.964999812399,0.0,1003377.430043867,3040537.6667995965,0.0,6474.569920795785,19619.908850896318,0.0,17230.307702715985,79011.86123523416,640920.2182473919,15495.92441076899,30083.09040564805,196183.07632538315,964366.2771730628,5045937.234806598,51483903.973034106,38127.814133007676,78983.09969551694,462900.3345404101
5,0.0,25485.902037073924,4842.327639504665,42.367,-71.062,North Station,0.9738937226128358,1,2285981.7743037785,8570.93617124661,3.141592653589793,24820.56000903198,80066.32260978057,0.0,4715.912490948224,15212.62093854266,0.0,2226303.3000018024,7181623.548392911,0.0,8347.180934092368,26926.390109975382,0.0,17230.307702715985,79011.86123523416,640920.2182473919,15495.92441076899,30083.09040564805,196183.07632538315,964366.2771730628,5045937.234806598,51483903.973034106,38127.814133007676,78983.09969551694,462900.3345404101
6,0.0,36864.44623476302,4811.897438354055,42.363,-71.058,Haymarket,0.3141592653589793,0,3628288.5165681113,8418.25846254299,3.141592653589793,11581.307346978741,115813.0734697874,0.0,1511.7021642160644,15117.021642160644,0.0,1139860.4548754587,11398604.548754586,0.0,2644.6738941945164,26446.738941945165,0.0,17230.307702715985,79011.86123523416,640920.2182473919,15495.92441076899,30083.09040564805,196183.07632538315,964366.2771730628,5045937.234806598,51483903.973034106,38127.814133007676,78983.09969551694,462900.3345404101
7,0.0,48863.64075402633,4547.363534927744,42.359,-71.057,State,0.18849555921538758,0,4739051.389930054,8091.2567210537045,3.141592653589793,9210.579289229996,153509.65482049994,0.0,857.1578324718668,14285.963874531113,0.0,893290.1418953253,14888169.031588754,0.0,1525.1659603902813,25419.432673171355,0.0,17230.307702715985,79011.86123523416,640920.2182473919,15495.92441076899,30083.09040564805,196183.07632538315,964366.2771730628,5045937.234806598,51483903.973034106,38127.814133007676,78983.09969551694,462900.3345404101
8,0.0,34678.90598096491,4632.2207822176715,42.355,-71.06,Downtown Crossing,0.12566370614359174,0,2924354.231277561,8930.395724501659,3.141592653589793,4357.87985057322,108946.9962643305,0.0,582.1020311688401,14552.550779221001,0.0,367485.19077903253,9187129.769475812,0.0,1122.2266240697645,28055.66560174411,0.0,17230.307702715985,79011.86123523416,640920.2182473919,15495.92441076899,30083.09040564805,196183.07632538315,964366.2771730628,5045937.234806598,51483903.973034106,38127.814133007676,78983.09969551694,462900.3345404101
9,0.0,34989.40264172046,4383.698352183861,42.353,-71.062,Chinatown,0.09424777960769379,0,2923637.304051586,8773.23777577685,3.141592653589793,3297.6735087817287,109922.45029272429,0.0,413.153836163235,13771.7945387745,0.0,275546.3242850859,9184877.47616953,0.0,826.8581803373102,27561.939344577007,0.0,17230.307702715985,79011.86123523416,640920.2182473919,15495.92441076899,30083.09040564805,196183.07632538315,964366.2771730628,5045937.234806598,51483903.973034106,38127.814133007676,78983.09969551694,462900.3345404101
10,0.0,26022.53278259601,4730.196478598735,42.35,-71.064,Tufts Medical Center,0.5340707511102649,0,2038845.9265419955,9536.535676043603,3.141592653589793,13897.873628992542,81752.19781760318,0.0,2526.2595862243566,14860.350507202094,0.0,1088887.9753863874,6405223.384625808,0.0,5093.184771494445,29959.910420555552,0.0,17230.307702715985,79011.86123523416,640920.2182473919,15495.92441076899,30083.09040564805,196183.07632538315,964366.2771730628,5045937.234806598,51483903.973034106,38127.814133007676,78983.09969551694,462900.3345404101
11,0.0,25447.77177772839,4957.877622057296,42.347,-71.075,Back Bay,0.8168140899333463,0,2150773.9593622927,10462.818962762916,3.141592653589793,20786.09854545671,79946.53286714118,0.0,4049.6642978616333,15575.631914852434,0.0,1756782.4742688509,6756855.670264811,0.0,8546.177949206549,32869.91518925596,0.0,17230.307702715985,79011.86123523416,640920.2182473919,15495.92441076899,30083.09040564805,196183.07632538315,964366.2771730628,5045937.234806598,51483903.973034106,38127.814133007676,78983.09969551694,462900.3345404101
12,0.0,15150.67865415588,4122.339682165475,42.341,-71.084,Mass Ave,0.6283185307179586,0,1083865.4349358408,10209.29052281447,3.141592653589793,9519.45215135916,47597.260756795804,0.0,2590.1424122185476,12950.71206109274,0.0,681012.7375748686,3405063.6878743432,0.0,6414.686420967568,32073.432104837837,0.0,17230.307702715985,79011.86123523416,640920.2182473919,15495.92441076899,30083.09040564805,196183.07632538315,964366.2771730628,5045937.234806598,51483903.973034106,38127.814133007676,78983.09969551694,462900.3345404101
13,0.0,13343.387154751674,3857.56539304118,42.337,-71.089,Ruggles,0.6911503837897545,0,888850.5973446576,10089.959011969908,3.141592653589793,9222.2871530619,41919.48705937227,0.0,2666.1578018944865,12118.899099520393,0.0,614329.4314865127,2792406.5067568757,0.0,6973.679043545893,31698.54110702679,0.0,17230.307702715985,79011.86123523416,640920.2182473919,15495.92441076899,30083.09040564805,196183.07632538315,964366.2771730628,5045937.234806598,51483903.973034106,38127.814133007676,78983.09969551694,462900.3345404101
14,0.0,5698.652291370515,2905.222650698419,42.331,-71.095,Roxbury Crossing,1.0681415022205298,0,308965.8178292185,8271.674057329792,3.141592653589793,6086.967019136966,17902.84417393225,0.0,3103.188886402119,9127.026136476818,0.0,330019.212790896,970644.7435026353,0.0,8835.31835347483,25986.230451396554,0.0,17230.307702715985,79011.86123523416,640920.2182473919,15495.92441076899,30083.09040564805,196183.07632538315,964366.2771730628,5045937.234806598,51483903.973034106,38127.814133007676,78983.09969551694,462900.3345404101
15,7.0685834705770345,3740.7396914621436,2370.375124813704,42.323,-71.1,Jackson Square,1.1938052083641213,0,204210.23717033543,6081.136376953367,3.141592653589793,4465.714526801903,11751.88033368922,26441.730750800743,2829.766169779354,7446.753078366722,16755.194426325124,243787.2447352189,641545.380882155,1443477.1069848489,7259.692279579453,19104.45336731435,42985.02007645729,17230.307702715985,79011.86123523416,640920.2182473919,15495.92441076899,30083.09040564805,196183.07632538315,964366.2771730628,5045937.234806598,51483903.973034106,38127.814133007676,78983.09969551694,462900.3345404101
16,0.0,1311.120899062117,2008.2626960465832,42.317,-71.104,Stony Brook,1.382300767579509,0,71601.44948114369,4812.041593443583,3.141592653589793,1812.3634251631001,4119.007784461591,0.0,2776.023066246486,6309.143332378378,0.0,98974.73857759035,224942.5876763417,0.0,6651.688788241589,15117.474518730884,0.0,17230.307702715985,79011.86123523416,640920.2182473919,15495.92441076899,30083.09040564805,196183.07632538315,964366.2771730628,5045937.234806598,51483903.973034106,38127.814133007676,78983.09969551694,462900.3345404101
