,darea,empdensity,housedensity,lat,lon,name,narea,parking,paydensity,popdensity,warea,empnear,empwalk,empdrive,housenear,housewalk,housedrive,paynear,paywalk,paydrive,popnear,popwalk,popdrive,15empnet,30empnet,60empnet,15housenet,30housenet,60housenet,15paynet,30paynet,60paynet,15popnet,30popnet,60popnet
0,63.61725123519331,1873.6660350349518,999.9607453563492,42.074,-87.691,Linden,2.419026343264141,1,109183.01104364729,2775.4968961152326,2.701769682087222,4532.447497228821,5062.214087814007,119197.48288166703,2418.931385247054,2701.6636250811252,63614.75396266603,264116.5799514824,294987.3490367206,6945923.044178595,6714.000107350604,7498.753366651324,176569.483342662,17934.771808637794,324571.4369203593,689276.4446321584,21663.528725642125,65295.926352019495,413016.43812621944,770988.2859941012,27381639.680264972,48993965.98423434,75869.01109422062,164694.92527301674,1006706.0616545521
1,0.0,2473.58147328212,1128.5651580136564,42.064,-87.686,Central,1.6336281798666925,0,147623.07301298366,3113.5226552844833,2.57610597594363,4040.9123999498415,6372.208015305518,0.0,1843.6558449468157,2907.303447800747,0.0,241161.21207252835,380292.68057591,0.0,5086.338348326102,8020.764318514236,0.0,17934.771808637794,324571.4369203593,689276.4446321584,21663.528725642125,65295.926352019495,413016.43812621944,770988.2859941012,27381639.680264972,48993965.98423434,75869.01109422062,164694.92527301674,1006706.0616545521
2,0.0,2469.154930308504,1235.1416905318533,42.058,-87.683,Noyes,0.4712388980384689,0,145667.14564044596,3312.871905520482,2.293362637120549,1163.5618484448319,5662.667662431516,0.0,582.0468091676022,2832.627804615664,0.0,68644.02519201291,334067.5892677962,0.0,1561.1541061000746,7597.61664968703,0.0,17934.771808637794,324571.4369203593,689276.4446321584,21663.528725642125,65295.926352019495,413016.43812621944,770988.2859941012,27381639.680264972,48993965.98423434,75869.01109422062,164694.92527301674,1006706.0616545521
3,0.0,2599.6493844455294,1271.4197188157725,42.054,-87.684,Foster,0.8796459430051421,0,152714.03598551775,3427.1390376145655,2.764601535159018,2286.771034263325,7186.994679113306,0.0,1118.3991975130327,3514.9689064695317,0.0,134334.28219460195,422193.4583258919,0.0,3014.6689505521995,9474.673844592628,0.0,17934.771808637794,324571.4369203593,689276.4446321584,21663.528725642125,65295.926352019495,413016.43812621944,770988.2859941012,27381639.680264972,48993965.98423434,75869.01109422062,164694.92527301674,1006706.0616545521
4,0.0,2345.3232743545686,1281.5902463700147,42.049,-87.684,Davis,1.288052987971815,0,135058.29780343146,3412.772363081468,2.9845130209103035,3020.900651292243,6999.647850555198,0.0,1650.756146192432,3824.9227777629526,0.0,173962.2440360971,403083.2483763226,0.0,4395.8316395347165,10185.463555019467,0.0,17934.771808637794,324571.4369203593,689276.4446321584,21663.528725642125,65295.926352019495,413016.43812621944,770988.2859941012,27381639.680264972,48993965.98423434,75869.01109422062,164694.92527301674,1006706.0616545521
5,0.0,1901.725944279633,1335.9198232358676,42.042,-87.682,Dempster,1.288052987971815,0,104033.03751587003,3449.206001711953,2.8902652413026093,2449.5237848329025,5496.492395234806,0.0,1720.7355200097381,3861.162630265754,0.0,134000.06482010032,300683.0722792495,0.0,4442.760096635398,9969.120216840405,0.0,17934.771808637794,324571.4369203593,689276.4446321584,21663.528725642125,65295.926352019495,413016.43812621944,770988.2859941012,27381639.680264972,48993965.98423434,75869.01109422062,164694.92527301674,1006706.0616545521
6,0.0,1414.6899214672912,1721.406496403688,42.033,-87.68,Main,1.350884841043611,0,68191.32212084047,4156.821043114456,2.9530970943744057,1911.0831696873402,4177.716696525814,0.0,2325.4219412657353,5083.480522766957,0.0,92118.62334376526,201375.59521660313,0.0,5615.38653407441,12275.496144255687,0.0,17934.771808637794,324571.4369203593,689276.4446321584,21663.528725642125,65295.926352019495,413016.43812621944,770988.2859941012,27381639.680264972,48993965.98423434,75869.01109422062,164694.92527301674,1006706.0616545521
7,0.0,1454.8948839945208,2083.4066792878284,42.028,-87.678,South Boulevard,1.5393804002589986,0,67689.81496625868,5076.812204534867,2.9530970943744057,2239.636668858255,4296.445854544408,0.0,3207.1554078643685,6152.502211005115,0.0,104200.37445621684,199894.59589559966,0.0,7815.145203456653,14992.319369896437,0.0,17934.771808637794,324571.4369203593,689276.4446321584,21663.528725642125,65295.926352019495,413016.43812621944,770988.2859941012,27381639.680264972,48993965.98423434,75869.01109422062,164694.92527301674,1006706.0616545521
8,7.0685834705770345,1205.5702554044874,3075.1784384234793,42.019,-87.673,Howard,1.1938052083641213,1,43986.99321894888,7399.632982366174,2.796017461694916,1439.216049950741,3370.7954854109466,8521.673979971494,3671.164036438995,8598.252611659753,21737.1554789151,52511.90160505846,122988.40112763694,310925.7331878462,8833.720394331674,20689.50302882945,52304.92338749018,17934.771808637794,324571.4369203593,689276.4446321584,21663.528725642125,65295.926352019495,413016.43812621944,770988.2859941012,27381639.680264972,48993965.98423434,75869.01109422062,164694.92527301674,1006706.0616545521
9,0.0,1305.1523421241106,3567.708292049124,42.016,-87.669,Jarvis,0.7539822368615503,0,48792.26448295389,8453.835005554663,2.293362637120549,984.0616823598283,2993.1876171778113,0.0,2689.9886785086996,8182.048897130629,0.0,36788.500716397946,111898.35634571043,0.0,6374.041427546582,19387.709342120852,0.0,17934.771808637794,324571.4369203593,689276.4446321584,21663.528725642125,65295.926352019495,413016.43812621944,770988.2859941012,27381639.680264972,48993965.98423434,75869.01109422062,164694.92527301674,1006706.0616545521
