GEO.id,ESTAB,EMP,PAYQTR1,PAYANN
8610000US01505,121,1309,14057,65297
8610000US01506,45,159,990,4561
8610000US01507,225,2242,23140,98828
8610000US01508,23,342,1585,7938
8610000US01509,4,11,145,861
8610000US01510,244,3385,38270,179296
8610000US01515,44,432,2775,13346
8610000US01516,127,714,5889,29958
8610000US01518,63,497,4567,20484
8610000US01519,94,1267,13725,58429
8610000US01520,271,2904,25408,114085
8610000US01521,21,61,426,1644
8610000US01522,30,96,660,3870
8610000US01523,120,1841,19259,82542
8610000US01524,107,1329,8454,37067
8610000US01525,22,171,1314,6462
8610000US01526,11,56,411,1880
8610000US01527,292,4319,36679,166731
8610000US01529,33,100,666,3258
8610000US01531,18,29,162,1238
8610000US01532,494,8523,96397,394168
8610000US01534,64,787,7420,33861
8610000US01535,76,717,7844,31104
8610000US01536,144,1774,23452,101310
8610000US01537,63,793,8205,37080
8610000US01538,17,107,907,4333
8610000US01540,222,4185,68660,229711
8610000US01541,71,957,4122,18395
8610000US01542,35,599,8969,37639
8610000US01543,120,1009,8239,35799
8610000US01545,806,11210,114097,494640
8610000US01550,324,5034,48549,209714
8610000US01560,62,355,4112,18297
8610000US01561,29,575,5719,23873
8610000US01562,220,2876,27821,118497
8610000US01564,193,2204,21166,95222
8610000US01566,229,3580,24701,113150
8610000US01568,153,706,5690,28164
8610000US01569,271,3476,35550,161103
8610000US01570,372,6300,65319,267314
8610000US01571,162,2409,22237,90732
8610000US01581,942,23864,420758,1708796
8610000US01583,237,2509,22878,98263
8610000US01585,87,773,5335,27267
8610000US01588,202,3155,27578,118443
8610000US01590,155,1703,17561,87284
8610000US01601,8,123,1593,6528
8610000US01602,295,2630,21172,89748
8610000US01603,390,6614,55500,237364
8610000US01604,710,9266,79590,355297
8610000US01605,593,21694,349134,1376802
8610000US01606,448,10355,113830,470810
8610000US01607,142,2755,24104,111720
8610000US01608,527,13987,216088,851899
8610000US01609,510,11422,92117,399705
8610000US01610,353,9375,75757,333517
8610000US01611,30,281,1938,8894
8610000US01612,70,821,4628,21973
8610000US01613,21,263,4050,14979
8610000US01614,2,a,D,D
8610000US01615,9,357,5499,22025
8610000US01653,4,66,739,2284
8610000US01655,6,94,631,2593
8610000US01701,1179,29091,625432,2328347
8610000US01702,881,13841,213244,960248
8610000US01703,9,26,236,1257
8610000US01704,5,19,74,322
8610000US01719,139,3989,122625,529506
8610000US01720,714,8203,108837,465517
8610000US01721,396,4609,47693,201465
8610000US01730,550,17825,418198,1637305
8610000US01731,33,685,16532,60462
8610000US01740,124,722,10864,44839
8610000US01741,102,499,6929,30773
8610000US01742,762,9803,165804,683449
8610000US01745,15,128,2819,11462
8610000US01746,388,5057,74896,326967
8610000US01747,142,1813,21214,98765
8610000US01748,439,15077,569580,2102771
8610000US01749,524,7760,84160,357457
8610000US01752,1408,34483,818124,3107435
8610000US01754,265,2239,41426,183877
8610000US01756,138,1061,7714,36325
8610000US01757,792,15834,228477,946169
8610000US01760,1302,20903,310717,1199474
8610000US01770,106,638,7177,33540
8610000US01772,339,7784,159284,601968
8610000US01773,145,1385,19117,86599
8610000US01775,160,1249,12576,62500
8610000US01776,522,6397,96944,362066
8610000US01778,360,3408,36278,160169
8610000US01784,4,35,313,1322
8610000US01801,2069,42347,676480,2868457
8610000US01803,1483,40367,861145,3409334
8610000US01805,14,i,D,D
8610000US01810,1042,28458,621497,2441179
8610000US01812,1,a,D,D
8610000US01815,1,a,D,D
8610000US01821,725,13932,270411,1169329
8610000US01824,823,20087,325777,1466295
8610000US01826,538,4393,38866,191603
8610000US01827,44,120,925,5792
8610000US01830,502,6757,53551,243356
8610000US01831,15,169,2021,7646
8610000US01832,285,4896,45275,200600
8610000US01833,205,2273,19504,95275
8610000US01834,121,892,8907,43466
8610000US01835,300,5626,56169,239999
8610000US01840,330,5547,39660,176779
8610000US01841,381,6644,70387,301092
8610000US01842,20,206,3270,15581
8610000US01843,451,9350,117821,467582
8610000US01844,905,16416,154191,690478
8610000US01845,883,14595,167054,773151
8610000US01850,103,1421,7595,32612
8610000US01851,450,8568,147660,551236
8610000US01852,728,11640,102525,428002
8610000US01853,19,538,9314,41256
8610000US01854,294,6707,77974,353205
8610000US01860,82,543,4495,19887
8610000US01862,386,7641,114223,464853
8610000US01863,221,2871,36129,172349
8610000US01864,510,6700,134411,532851
8610000US01865,2,a,D,D
8610000US01866,6,17,157,1235
8610000US01867,537,7146,67395,285645
8610000US01876,705,14595,229862,861690
8610000US01879,316,3368,33990,147936
8610000US01880,887,14663,226769,941593
8610000US01885,9,21,191,1239
8610000US01886,594,10266,216547,850463
8610000US01887,825,17537,315324,1128725
8610000US01888,17,260,5959,23299
8610000US01889,2,b,D,D
8610000US01890,570,6833,84571,388685
8610000US01901,292,6900,72453,287389
8610000US01902,385,3636,29870,134456
8610000US01903,8,32,319,1361
8610000US01904,275,2257,18572,82896
8610000US01905,302,3694,36498,160662
8610000US01906,768,10000,71458,300333
8610000US01907,323,2894,20627,93653
8610000US01908,47,314,2483,12350
8610000US01910,10,g,D,D
8610000US01913,398,3944,45362,189414
8610000US01915,1239,21315,279102,1164458
8610000US01921,148,1290,15390,64586
8610000US01922,59,708,8800,34653
8610000US01923,1092,29701,301799,1311081
8610000US01929,149,1050,10357,53736
8610000US01930,889,9786,126887,544302
8610000US01931,14,32,202,1181
8610000US01936,16,147,987,4585
8610000US01937,5,53,412,1897
8610000US01938,367,4647,66767,303181
8610000US01940,400,4627,63872,258584
8610000US01944,177,1279,14265,63013
